Participant ID,Il,"deputato,",un,muro,di,cinquemila,piastrelle
Sofiiiiiii <3,554,748,688,532,565,648,650
giulia,770,1510,640,1520,600,1010,881
Giada ,766,934,884,801,868,1168,
Gina,448,751,394,346,531,439,556
giorgia,385,523,443,488,441,480,451
Maria,299,265,284,260,345,409,469
Nicola,481,486,521,530,404,617,619
Gaia,471,513,460,382,472,414,1176
letizia,455,751,627,458,481,686,524
Lea,554,909,851,1071,1023,1244,821
Clarissa,633,923,705,750,638,658,680
Cloe,610,770,537,503,477,527,470
Average,535.5,756.9166666666666,586.1666666666666,636.75,570.4166666666666,691.6666666666666,663.3636363636364
Min,299.0,265.0,284.0,260.0,345.0,409.0,451.0
Max,770.0,1510.0,884.0,1520.0,1023.0,1244.0,1176.0
